year,deuda_mfmp2024,deuda_actualizacion,deuda_consolidacion,balance_mfmp2024,balance_actualizacion,balance_consolidacion
2019,48.4,48.4,48.4,0.4,0.448259105264,0.448259105264
2020,60.7,60.7,60.7,-4.9,-4.95025646296,-4.95025646296
2021,60,60,60,-3.7,-3.64499181495,-3.64499181495
2022,57.7,57.7,57.7,-1,-0.979875506563,-0.979875506563
2023,53.8,53.8,53.8,-0.4,-0.343875418705,-0.343875418705
2024,55.3,59.3050888616,59.3050888616,-0.8,-2.36164627293,-2.36164627293
2025,56.5,58.6,58.6,-0.5,-3.54501209204,-3.54501209204
2026,56.6,59.7,59.7,-0.2,-3.3,-3.3
2027,56.6,65.359223301,65.359223301,0.2,-4.5,-4.5
2028,56.7,70.628334433,65.3924121029,0.5,-4,1.2359223301
2029,56.5,75.8997584026,65.4229264675,0.6,-3.9,1.23924121029
2030,56.3,81.1735401192,65.4509819075,0.8,-3.8,1.24229264675
2031,56.1,86.4497253642,65.4767765693,0.6,-3.7,1.24509819075
2032,55.8,91.7283608082,65.5004926321,0.7,-3.6,1.24767765693
2033,55.6,97.0094940277,65.5222975948,0.7,-3.5,1.25004926321
2034,55.5,102.293173523,65.5423454585,0.6,-3.4,1.25222975948
2035,55.4,107.579448737,65.5607778148,0.5,-3.3,1.25423454585
